Año Clúster Valparaíso[TWh]
2023 0,00
2024 0,05
2025 0,15
2026 0,29
2027 0,44 
2028 0,58
2029 0,89
2030 1,15
2031 1,91 
2032 2,65 
2033 3,52 
2034 4,36 
2035 5,25 
2036 5,97 
2037 6,70 
2038 7,42 
2039 8,11
2040 8,83 
2041 9,74
2042 10,69
2043 11,61
