name,longitude,latitude
SANTA_TERESA,-70.70948318099994,-32.57224843299997
SANTA_TERESITA,-70.78651424199995,-33.268086703999984
SANTIAGO_SOLAR,-70.86172432299998,-33.077898267999956
SANTUARIO_SOLAR,-70.68840079499995,-32.89182858799995
SAN_FRANCISCO_SOLAR,-70.70381659199995,-33.04009575599997
SGT_CATAPILCO,-71.36276727299997,-32.59229489699993
SLK_CB_NUEVE,-70.68737050299995,-32.662009560999934
SOLARPACK_VILLA_ALEMANA,-71.29392941699996,-33.047004914999945
S_E_ACONCAGUA,-70.32936999999998,-32.91710500099998
S_E_ACONCAGUA_TG,-71.49199853099998,-32.927733271999955
S_E_AGUA_SANTA,-71.54198499999995,-33.07627900099993
S_E_BATUCO,-70.73086425999998,-33.267656640999974
S_E_BOSQUEMAR,-71.51625199999995,-32.934493000999964
S_E_CABILDO,-71.07670699999994,-32.43687600099997
S_E_CALERA_CENTRO,-71.19874483999996,-32.78906245099995
S_E_CALEU,-70.96168299999994,-32.99611800099996
S_E_CASAS_VIEJAS,-71.36593099999999,-32.59927400099997
S_E_CATEMU,-70.96060299999994,-32.77544500099998
S_E_CEMENTO_MELON,-71.19855099999995,-32.789706000999956
S_E_CENTRAL_CAMPICHE,-71.48224499999998,-32.74869600099993
S_E_CENTRAL_CHACABUQUITO,-70.50577499999997,-32.85361600099998
S_E_CENTRAL_CHAGUAL,-71.47745194399994,-31.941620114999978
S_E_CENTRAL_COLMITO,-71.47349799999995,-32.930155000999946
S_E_CENTRAL_HORNITOS,-70.26369499999998,-32.90147100099995
S_E_CENTRAL_JUNCALITO,-70.26961999999997,-32.90117700099995
S_E_CENTRAL_LAGUNA_VERDE,-71.67761999999993,-33.10345700099998
S_E_CENTRAL_LOMA_LOS_COLORADOS,-70.80445299999997,-32.95797000099998
S_E_CENTRAL_LOS_OLIVOS,-71.47615299999995,-31.93636700099995
S_E_CENTRAL_LOS_QUILOS,-70.40822180999999,-32.86613868099994
S_E_CENTRAL_LOS_VIENTOS,-71.01308183999998,-32.843666661999976
S_E_CENTRAL_NEHUENCO_I,-71.32409299999995,-32.937630000999945
S_E_CENTRAL_NEHUENCO_II,-71.32257531499994,-32.937676357999976
S_E_CENTRAL_NEHUENCO_III,-71.32380026799996,-32.935538537999946
S_E_CENTRAL_NUEVA_VENTANAS,-71.48239199999995,-32.74915100099997
